id,name,description,short_description,created_at,updated_at
87,dry_skin,"This Pokémon takes 1/8 of its maximum HP in damage after each turn during strong sunlight, but it heals for 1/8 of its HP each turn during rain.  This Pokémon takes 1.25× as much damage from fire-type moves, but whenever a water move hits it, it heals for 1/4 its maximum HP instead.","Causes 1/8 max HP in damage each turn during strong sunlight, but heals for 1/8 max HP during rain.  Increases damage from fire moves to 1.25×, but absorbs water moves, healing for 1/4 max HP.",2020-11-05 21:14:11.82215,2020-11-05 21:14:11.82215
88,download,"When this Pokémon enters battle, its Attack or Special Attack, whichever corresponds to its opponents' weaker total defensive stat, rises one stage.  In the event of a tie, Special Attack is raised.

This ability also takes effect when acquired during a battle.",Raises the attack stat corresponding to the opponents' weaker defense one stage upon entering battle.,2020-11-05 21:14:12.706217,2020-11-05 21:14:12.706217
89,iron_fist,"Moves flagged as being punch-based have 1.2× their base power for this Pokémon.

sucker punch is not flagged as punch-based; its original, Japanese name only means ""surprise attack"".",Strengthens punch-based moves to 1.2× their power.,2020-11-05 21:14:12.928359,2020-11-05 21:14:12.928359
90,poison_heal,"If this Pokémon is poisoned, it will heal for 1/8 of its maximum HP after each turn rather than taking damage.  This includes bad poison.",Heals for 1/8 max HP after each turn when poisoned in place of damage.,2020-11-05 21:14:13.136078,2020-11-05 21:14:13.136078
91,adaptability,"This Pokémon inflicts twice as much damage with moves whose types match its own, rather than the usual same-type attack bonus of 1.5×.",Increases the same-type attack bonus from 1.5× to 2×.,2020-11-05 21:14:13.831089,2020-11-05 21:14:13.831089
92,skill_link,"This Pokémon always hits five times with two-to-five-hit moves, such as icicle spear.  It also bypasses the accuracy checks on triple kick's second and third hits.",Extends two-to-five-hit moves and triple kick to their full length every time.,2020-11-05 21:14:14.060775,2020-11-05 21:14:14.060775
93,hydration,This Pokémon is cured of any major status ailment after each turn during rain.,Cures any major status ailment after each turn during rain.,2020-11-05 21:14:14.261157,2020-11-05 21:14:14.261157
94,solar_power,"During strong sunlight, this Pokémon has 1.5× its Special Attack but takes 1/8 of its maximum HP in damage after each turn.",Increases Special Attack to 1.5× but costs 1/8 max HP after each turn during strong sunlight.,2020-11-05 21:14:14.481116,2020-11-05 21:14:14.481116
95,quick_feet,"Whenever this Pokémon has a major status ailment, it has 1.5× its Speed.  This Pokémon is not affected by the usual Speed cut from paralysis.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is halved.",Increases Speed to 1.5× with a major status ailment.,2020-11-05 21:14:14.727937,2020-11-05 21:14:14.727937
96,normalize,"This Pokémon's moves all act as if they were normal-type.

Moves that inflict typeless damage do so as usual.  Moves of variable type, such as hidden power, are affected.  They otherwise work as usual, however; weather ball, for example, is always forced to be Normal, but it still has doubled power and looks different during weather.

As thunder wave is prevented by immunities, unlike most non-damaging moves, it does not affect ghost-type Pokémon under the effect of this ability.",Makes the Pokémon's moves all act normal-type.,2020-11-05 21:14:15.46713,2020-11-05 21:14:15.46713
97,sniper,"This Pokémon inflicts triple damage with critical hits, rather than the usual double damage.",Strengthens critical hits to inflict 3× damage rather than 2×.,2020-11-05 21:14:16.288356,2020-11-05 21:14:16.288356
98,magic_guard,"This Pokémon is immune to damage not directly caused by a move.

For example, this Pokémon takes no damage from from weather, recoil, status ailments, or spikes, but it still suffers from the Attack cut when burned, and a life orb will still power up this Pokémon's moves without damaging it.  Anything that directly depends on such damage will also not happen; for example, leech seed will neither hurt this Pokémon nor heal the opponent, and Pokémon with a jaboca berry or rowap berry will not consume the berry when hit by this Pokémon.

The following are unaffected: struggle, pain split (whether used by or against this Pokémon), belly drum, substitute, curse, moves that knock the user out, and damage from confusion.

This Pokémon will neither lose nor regain HP if it drains HP from a Pokémon with liquid ooze.

If this Pokémon is badly poisoned, the poison counter is still increased each turn; if the Pokémon loses this ability, it will begin taking as much damage as it would be if it had been taking increasing damage each turn.",Protects against damage not directly caused by a move.,2020-11-05 21:14:17.413837,2020-11-05 21:14:17.413837
99,no_guard,"Moves used by or against this Pokémon never miss.

One-hit KO moves are unaffected.  Moves affected by this ability can hit Pokémon during the preparation turn of moves like dig or fly.

Overworld: If the lead Pokémon has this ability, the wild encounter rate is doubled.",Ensures all moves used by and against the Pokémon hit.,2020-11-05 21:14:18.336517,2020-11-05 21:14:18.336517
286,climber,,,2020-11-05 21:16:11.07862,2020-11-05 21:16:11.07862
100,stall,"This Pokémon moves last within its priority bracket.

Multiple Pokémon with this ability move in order of Speed amongst themselves.

The full incense and lagging tail take precedence over this ability; that is, Pokémon with these items move after Pokémon with this ability.  Pokémon with both this ability and one of these items are delayed as much as if they had only the item.

This ability works as usual during trick room: Pokémon with this ability will move in reverse order of Speed after Pokémon without it.",Makes the Pokémon move last within its move's priority bracket.,2020-11-05 21:14:18.548127,2020-11-05 21:14:18.548127
101,technician,"This Pokémon's moves have 1.5× their power if their base power is 60 or less.

This includes moves of variable power, such as hidden power and magnitude, when their power is 60 or less.  helping hand's power boost is taken into account for any move, as is defense curl's power boost for rollout.",Strengthens moves of 60 base power or less to 1.5× their power.,2020-11-05 21:14:18.826872,2020-11-05 21:14:18.826872
102,leaf_guard,"This Pokémon cannot be given a major status ailment during strong sunlight.

This ability does not heal prior status ailments.  rest will fail altogether with this ability in effect.  yawn will immediately fail if used on this Pokémon during strong sunlight, and an already-used Yawn will fail if the weather turns to strong sunlight in the meantime.",Protects against major status ailments during strong sunlight.,2020-11-05 21:14:19.06293,2020-11-05 21:14:19.06293
103,klutz,"In battle, this Pokémon cannot use its held item, nor will the item have any passive effect on the battle, positive or negative.  This Pokémon also cannot use fling.

The Speed cut from the iron ball and the effort items (the macho brace, power weight, power bracer, power belt, power lens, power band, and power anklet) is unaffected.  Items that do not directly affect the battle, such as the exp share, the amulet coin, or the soothe bell, work as usual.  All held items work as usual out of battle.

Other moves that use the held item, such as natural gift and switcheroo, work as usual.",Prevents the Pokémon from using its held item in battle.,2020-11-05 21:14:19.876135,2020-11-05 21:14:19.876135
104,mold_breaker,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to teravolt and turboblaze.",Bypasses targets' abilities if they could hinder or prevent a move.,2020-11-05 21:14:20.147373,2020-11-05 21:14:20.147373
105,super_luck,This Pokémon's moves have critical hit rates one stage higher than normal.,Raises moves' critical hit rates one stage.,2020-11-05 21:14:20.347504,2020-11-05 21:14:20.347504
106,aftermath,"When this Pokémon is knocked out by a move that makes contact, the move's user takes 1/4 its maximum HP in damage.",Damages the attacker for 1/4 its max HP when knocked out by a contact move.,2020-11-05 21:14:21.1977,2020-11-05 21:14:21.1977
107,anticipation,"When this Pokémon enters battle, if one of its opponents has a move that is super effective against it, self destruct, explosion, or a one-hit knockout move, all participating trainers are notified.

The move itself is not revealed; only that there is such a move.  Moves that inflict typeless damage, such as future sight, and moves of variable type, such as hidden power, count as their listed types.  counter, metal burst, mirror coat, and one-hit KO moves to which this Pokémon is immune do not trigger this ability.","Notifies all trainers upon entering battle if an opponent has a super-effective move, self destruct, explosion, or a one-hit KO move.",2020-11-05 21:14:21.371603,2020-11-05 21:14:21.371603
108,forewarn,"When this Pokémon enters battle, it reveals the move with the highest base power known by any opposing Pokémon to all participating trainers.

In the event of a tie, one is chosen at random.

Moves without a listed base power are assigned one as follows:

Power | Moves
----: | -----
  160 | One-hit KO moves: fissure, guillotine, horn drill, and sheer cold
  120 | Counter moves: counter, metal burst, and mirror coat
   80 | Variable power or set damage: crush grip, dragon rage, electro ball, endeavor, final gambit, flail, frustration, grass knot, gyro ball, heat crash, heavy slam, hidden power, low kick, natural gift, night shade, psywave, return, reversal, seismic toss, sonic boom, trump card, and wring out
    0 | Any such move not listed
",Reveals the opponents' strongest move upon entering battle.,2020-11-05 21:14:22.01676,2020-11-05 21:14:22.01676
109,unaware,"This Pokémon ignores other Pokémon's stat modifiers for the purposes of damage and accuracy calculation.

Effectively, this affects modifiers of every stat except Speed.

The power of punishment and stored power is calculated as usual.  When this Pokémon hurts itself in confusion, its stat modifiers affect damage as usual.",Ignores other Pokémon's stat modifiers for damage and accuracy calculation.,2020-11-05 21:14:22.198676,2020-11-05 21:14:22.198676
110,tinted_lens,This Pokémon deals twice as much damage with moves that are not very effective against the target.,Doubles damage inflicted with not-very-effective moves.,2020-11-05 21:14:22.428695,2020-11-05 21:14:22.428695
111,filter,"This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to solid rock.",Decreases damage taken from super-effective moves by 1/4.,2020-11-05 21:14:22.637295,2020-11-05 21:14:22.637295
112,slow_start,"This Pokémon's Attack and Speed are halved for five turns upon entering battle.

This ability also takes effect when acquired during battle.  If this Pokémon loses its ability before the five turns are up, its Attack and Speed return to normal; if it then regains this ability without leaving battle, its Attack and Speed are halved again, but the counter keeps counting from where it was.",Halves Attack and Speed for five turns upon entering battle.,2020-11-05 21:14:22.828968,2020-11-05 21:14:22.828968
113,scrappy,"This Pokémon ignores ghost-type Pokémon's immunity to normal- and fighting-type moves.

Ghost Pokémon's other types affect damage as usual.",Lets the Pokémon's normal and fighting moves hit ghost Pokémon.,2020-11-05 21:14:23.87566,2020-11-05 21:14:23.87566
133,weak_armor,"Whenever a physical move hits this Pokémon, its Speed rises one stage and its Defense falls one stage.

This ability triggers on every hit of a multiple-hit move.",Raises Speed and lowers Defense by one stage each upon being hit by a physical move.,2020-11-05 21:14:34.24557,2020-11-05 21:14:34.24557
114,storm_drain,"All other Pokémon's single-target water-type moves are redirected to this Pokémon, if it is an eligible target.  Other Pokémon's Water moves raise this Pokémon's Special Attack one stage, negating any other effect on it, and cannot miss it.

If the move's intended target also has this ability, the move is not redirected.  When multiple Pokémon with this ability are possible targets for redirection, the move is redirected to the one with the highest Speed stat, or, in the case of a tie, to a random tied Pokémon.  follow me takes precedence over this ability.","Redirects single-target water moves to this Pokémon where possible.  Absorbs Water moves, raising Special Attack one stage.",2020-11-05 21:14:24.686806,2020-11-05 21:14:24.686806
115,ice_body,"This Pokémon heals for 1/16 of its maximum HP after each turn during hail, and it does not take hail damage regardless of type.",Heals for 1/16 max HP after each turn during hail.  Protects against hail damage.,2020-11-05 21:14:24.940774,2020-11-05 21:14:24.940774
116,solid_rock,"This Pokémon takes 0.75× as much damage from moves that are super effective against it.

This ability functions identically to filter.",Decreases damage taken from super-effective moves by 1/4.,2020-11-05 21:14:25.202265,2020-11-05 21:14:25.202265
117,snow_warning,"The weather changes to hail when this Pokémon enters battle and does not end unless cancelled by another weather condition.

If multiple Pokémon with this ability, drizzle, drought, or sand stream are sent out at the same time, the abilities will activate in order of Speed, respecting trick room.  Each ability's weather will cancel the previous weather, and only the weather summoned by the slowest of the Pokémon will stay.",Summons hail that lasts indefinitely upon entering battle.,2020-11-05 21:14:25.914371,2020-11-05 21:14:25.914371
118,honey_gather,"This Pokémon has a chance of picking up honey after each battle.  This chance starts at 5% and rises another 5% after every tenth level: 5% from level 1–10, 10% from 11–20, and so on, up to 50% from 91–100.

This ability is checked after the battle ends, at which point any temporary ability changes have worn off.",The Pokémon may pick up honey after battle.,2020-11-05 21:14:26.14913,2020-11-05 21:14:26.14913
119,frisk,"When this Pokémon enters battle, it reveals an opposing Pokémon's held item to all participating trainers.

In a double battle, if one opponent has an item, this Pokémon will Frisk that Pokémon; if both have an item, it will Frisk one at random.",Reveals an opponent's held item upon entering battle.,2020-11-05 21:14:27.450699,2020-11-05 21:14:27.450699
120,reckless,"This Pokémon's recoil moves and crash moves have 1.2× their base power.

struggle is unaffected.

The ""crash moves"" are the moves that damage the user upon missing: jump kick and high jump kick.",Strengthens recoil moves to 1.2× their power.,2020-11-05 21:14:28.677584,2020-11-05 21:14:28.677584
121,multitype,"If this Pokémon is holding an elemental Plate, its type and form change to match the Plate.

This Pokémon's held item, whether or not it is a Plate, cannot be taken by covet or thief, nor removed by knock off, nor traded by switcheroo or trick.  Covet, Thief, and Knock Off still inflict damage against this Pokémon.  Unlike with sticky hold, this Pokémon cannot use fling, Switcheroo, or Trick to lose its item itself, nor gain an item through Switcheroo or Trick if it does not have one.

This ability has no effect for any Pokémon other than arceus.  This ability cannot be traded with skill swap, nor copied with role play or trace, nor disabled with gastro acid, nor changed with worry seed.  This Pokémon cannot use Skill Swap or Role Play to lose its ability itself.  mold breaker cannot ignore this ability.

If a Pokémon Transforms into an Arceus with this ability, it will Transform into Arceus's default, normal-type form.  If the Transforming Pokémon is holding a Plate, this ability will then activate and change the Pokémon into the corresponding form.",Changes arceus's type and form to match its held Plate.,2020-11-05 21:14:28.947204,2020-11-05 21:14:28.947204
122,flower_gift,"Friendly Pokémon have 1.5× their Attack and Special Defense during strong sunlight if any friendly Pokémon has this ability.

Unlike forecast, multitype, and zen mode, this ability is not tied to its Pokémon's form change; cherrim will switch between its forms even if it loses this ability.  As such, this ability also works if obtained by a Pokémon other than Cherrim.",Increases friendly Pokémon's Attack and Special Defense to 1.5× during strong sunlight.,2020-11-05 21:14:29.804367,2020-11-05 21:14:29.804367
123,bad_dreams,Opposing Pokémon take 1/8 of their maximum HP in damage after each turn while they are asleep.,Damages sleeping opponents for 1/8 their max HP after each turn.,2020-11-05 21:14:30.037506,2020-11-05 21:14:30.037506
124,pickpocket,"Whenever a move makes contact with this Pokémon, if it does not have a held item, it steals the attacker's held item.

This Pokémon cannot steal upon being knocked out.  It can steal if the attacker has a substitute, but cannot steal when its own Substitute is hit.  If a move hits multiple times, only the last hit triggers this ability.  If this Pokémon is wild, it cannot steal from a trained Pokémon.",Steals attacking Pokémon's held items on contact.,2020-11-05 21:14:30.249899,2020-11-05 21:14:30.249899
125,sheer_force,"This Pokémon's moves with extra effects have 1.3× their power, but lose their extra effects.

An effect chance is a move's chance to inflict a status ailment, cause a stat change, or make the target flinch in addition to the move's main effect. For example, thunder shock's paralysis is an extra effect, but thunder wave's is not, nor are knock off's item removal and air cutter's increased critical hit rate.

Moves that lower the user's stats are unaffected.","Strengthens moves with extra effects to 1.3× their power, but prevents their extra effects.",2020-11-05 21:14:30.528906,2020-11-05 21:14:30.528906
126,contrary,"Whenever this Pokémon's stats would be raised, they are instead lowered by the same amount, and vice versa.",Inverts stat changes.,2020-11-05 21:14:30.749013,2020-11-05 21:14:30.749013
127,unnerve,"Opposing Pokémon cannot eat held Berries while this Pokémon is in battle.

Affected Pokémon can still use bug bite or pluck to eat a target's Berry.",Prevents opposing Pokémon from eating held Berries.,2020-11-05 21:14:31.680466,2020-11-05 21:14:31.680466
128,defiant,"When any of this Pokémon's stats are lowered, its Attack rises by two stages.

If multiple stats are lowered at once, this ability takes effect with each stat lowered.",Raises Attack two stages upon having any stat lowered.,2020-11-05 21:14:31.933286,2020-11-05 21:14:31.933286
129,defeatist,This Pokémon's Attack and Special Attack are halved when it has half its HP or less.,Halves Attack and Special Attack at 50% max HP or less.,2020-11-05 21:14:32.176035,2020-11-05 21:14:32.176035
130,cursed_body,Moves that hit this Pokémon have a 30% chance of being Disabled afterward.,Has a 30% chance of Disabling any move that hits the Pokémon.,2020-11-05 21:14:32.401973,2020-11-05 21:14:32.401973
131,healer,Friendly Pokémon next to this Pokémon in double and triple battles each have a 30% chance of being cured of any major status ailment after each turn.,Has a 30% chance of curing each adjacent ally of any major status ailment after each turn.,2020-11-05 21:14:33.290828,2020-11-05 21:14:33.290828
132,friend_guard,"All friendly Pokémon take 0.75× as much direct damage from moves while this Pokémon is in battle.

This effect stacks if multiple allied Pokémon have it.",Decreases all direct damage taken by friendly Pokémon to 0.75×.,2020-11-05 21:14:34.006274,2020-11-05 21:14:34.006274
134,heavy_metal,This Pokémon has double the usual weight for its species.,Doubles the Pokémon's weight.,2020-11-05 21:14:34.429138,2020-11-05 21:14:34.429138
287,flame_boost,,,2020-11-05 21:16:12.205214,2020-11-05 21:16:12.205214
136,multiscale,This Pokémon takes half as much damage when it is hit having full HP.,Halves damage taken from full HP.,2020-11-05 21:14:34.823357,2020-11-05 21:14:34.823357
137,toxic_boost,This Pokémon has 1.5× its Attack when poisoned.,Increases Attack to 1.5× when poisoned.,2020-11-05 21:14:35.004589,2020-11-05 21:14:35.004589
138,flare_boost,This Pokémon has 1.5× its Special Attack when burned.,Increases Special Attack to 1.5× when burned.,2020-11-05 21:14:35.184697,2020-11-05 21:14:35.184697
139,harvest,"After each turn, if the last item this Pokémon consumed was a Berry and it is not currently holding an item, it has a 50% chance of regaining that Berry, or a 100% chance during strong sunlight.",Has a 50% chance of restoring a used Berry after each turn if the Pokémon has held no items in the meantime.,2020-11-05 21:14:35.851797,2020-11-05 21:14:35.851797
140,telepathy,"This Pokémon does not take damage from friendly Pokémon's moves, including single-target moves aimed at it.",Protects against friendly Pokémon's damaging moves.,2020-11-05 21:14:36.028611,2020-11-05 21:14:36.028611
141,moody,"After each turn, one of this Pokémon's stats at random rises two stages, and another falls one stage.

If a stat is already at 6 or -6 stages, it will not be chosen to be increased or decreased, respectively.",Raises a random stat two stages and lowers another one stage after each turn.,2020-11-05 21:14:36.237584,2020-11-05 21:14:36.237584
142,overcoat,This Pokémon does not take damage from weather.,Protects against damage from weather.,2020-11-05 21:14:36.557774,2020-11-05 21:14:36.557774
143,poison_touch,"This Pokémon's contact moves have a 30% chance of poisoning the target with each hit.

This counts as an extra effect for the purposes of shield dust.  This ability takes effect before mummy.",Has a 30% chance of poisoning target Pokémon upon contact.,2020-11-05 21:14:36.796706,2020-11-05 21:14:36.796706
144,regenerator,"This Pokémon regains 1/3 of its maximum HP when it is switched out for another Pokémon under any circumstances other than having fainted.

This ability does not take effect when a battle ends.",Heals for 1/3 max HP upon switching out.,2020-11-05 21:14:37.40706,2020-11-05 21:14:37.40706
145,big_pecks,"This Pokémon's Defense cannot be lowered by other Pokémon.

This Pokémon can still be passed negative Defense modifiers through heart swap or guard swap.",Protects against Defense drops.,2020-11-05 21:14:37.653073,2020-11-05 21:14:37.653073
146,sand_rush,"This Pokémon's Speed is doubled during a sandstorm, and it does not take sandstorm damage, regardless of type.",Doubles Speed during a sandstorm.  Protects against sandstorm damage.,2020-11-05 21:14:37.858097,2020-11-05 21:14:37.858097
147,wonder_skin,Non-damaging moves have exactly 50% base accuracy against this Pokémon.,Lowers incoming non-damaging moves' base accuracy to exactly 50%.,2020-11-05 21:14:38.145249,2020-11-05 21:14:38.145249
148,analytic,"This Pokémon's moves have 1.3× their power when it moves last in a turn.

future sight and doom desire are unaffected.",Strengthens moves to 1.3× their power when moving last.,2020-11-05 21:14:38.920766,2020-11-05 21:14:38.920766
149,illusion,"This Pokémon, upon being sent out, appears to have the species, nickname, and Poké Ball of the last Pokémon in the party that is able to battle.  This illusion breaks upon being hit by a damaging move.

Other damage, e.g. from weather or spikes, does not break the illusion, nor does damage done to a substitute.

If the party order becomes temporarily shuffled around as Pokémon are switched out in battle, this ability chooses the last Pokémon according to that shuffled order.",Takes the appearance of the last conscious party Pokémon upon being sent out until hit by a damaging move.,2020-11-05 21:14:39.56976,2020-11-05 21:14:39.56976
150,imposter,This Pokémon transforms into a random opponent upon entering battle.  This effect is identical to the move transform.,Transforms upon entering battle.,2020-11-05 21:14:39.940753,2020-11-05 21:14:39.940753
151,infiltrator,"This Pokémon's moves ignore light screen, reflect, and safeguard.","Bypasses light screen, reflect, and safeguard.",2020-11-05 21:14:40.529569,2020-11-05 21:14:40.529569
152,mummy,"Whenever a contact move hits this Pokémon, the attacking Pokémon's ability changes to Mummy.

multitype is unaffected.  If a Pokémon with moxie knocks this Pokémon out, the former's ability will change without taking effect.",Changes attacking Pokémon's abilities to Mummy on contact.,2020-11-05 21:14:41.449446,2020-11-05 21:14:41.449446
153,moxie,"This Pokémon's Attack rises one stage upon knocking out another Pokémon, even a friendly Pokémon.

This ability does not take effect when the Pokémon indirectly causes another Pokémon to faint, e.g. through poison or spikes.

If this Pokémon knocks out a Pokémon with mummy, the former's ability will change without taking effect.",Raises Attack one stage upon KOing a Pokémon.,2020-11-05 21:14:42.168613,2020-11-05 21:14:42.168613
154,justified,"Whenever a dark-type move hits this Pokémon, its Attack rises one stage.

The move is not negated in any way.",Raises Attack one stage upon taking damage from a dark move.,2020-11-05 21:14:42.405607,2020-11-05 21:14:42.405607
155,rattled,"This Pokémon's Speed rises one stage with each hit from a damaging dark-, ghost-, or bug-type move.","Raises Speed one stage upon being hit by a dark, ghost, or bug move.",2020-11-05 21:14:42.902322,2020-11-05 21:14:42.902322
156,magic_bounce,"When this Pokémon is targeted by a move flagged as being reflectable, the move is redirected to its user.

All reflectable moves are non-damaging, and most non-damaging moves that target other Pokémon are reflectable.

A move reflected by this ability or magic coat cannot be reflected back.",Reflects most non-damaging moves back at their user.,2020-11-05 21:14:43.124863,2020-11-05 21:14:43.124863
157,sap_sipper,"Whenever a grass-type move hits this Pokémon, its Attack rises one stage, negating any other effect on it.","Absorbs grass moves, raising Attack one stage.",2020-11-05 21:14:43.33028,2020-11-05 21:14:43.33028
158,prankster,This Pokémon's non-damaging moves have their priority increased by one stage.,Raises non-damaging moves' priority by one stage.,2020-11-05 21:14:43.555215,2020-11-05 21:14:43.555215
159,sand_force,"During a sandstorm, this Pokémon's rock-, ground-, and steel-type moves have 1.3× their base power.  This Pokémon does not take sandstorm damage, regardless of type.","Strengthens rock, ground, and steel moves to 1.3× their power during a sandstorm.  Protects against sandstorm damage.",2020-11-05 21:14:43.805467,2020-11-05 21:14:43.805467
160,iron_barbs,"Whenever a move makes contact with this Pokémon, the move's user takes 1/8 of its maximum HP in damage.

This ability functions identically to rough skin.",Damages attacking Pokémon for 1/8 their max HP on contact.,2020-11-05 21:14:44.782101,2020-11-05 21:14:44.782101
161,zen_mode,"This Pokémon switches between Standard Mode and Zen Mode after each turn depending on its HP.  Below 50% of its maximum HP, it switches to Zen Mode, and at 50% or above, it switches to Standard Mode.

This Pokémon returns to Standard Mode upon leaving battle or losing this ability.  This ability has no effect if this Pokémon is not a darmanitan.","Changes darmanitan's form after each turn depending on its HP: Zen Mode below 50% max HP, and Standard Mode otherwise.",2020-11-05 21:14:45.002346,2020-11-05 21:14:45.002346
162,victory_star,"All friendly Pokémon's moves, including this Pokémon's own moves, have 1.1× their usual accuracy while this Pokémon is in battle.",Increases moves' accuracy to 1.1× for friendly Pokémon.,2020-11-05 21:14:46.188752,2020-11-05 21:14:46.188752
188,aura_break,"While this Pokémon is on the field, dark aura and fairy aura weaken moves of their respective types to 2/3 their power, rather than strengthening them.",Makes dark aura and fairy aura weaken moves of their respective types.,2020-11-05 21:14:59.941511,2020-11-05 21:14:59.941511
163,turboblaze,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and teravolt.",Bypasses targets' abilities if they could hinder or prevent moves.,2020-11-05 21:14:46.388475,2020-11-05 21:14:46.388475
164,teravolt,"This Pokémon's moves completely ignore abilities that could hinder or prevent their effect on the target.

For example, this Pokémon's moves ignore abilities that would fully negate them, such as water absorb; abilities that would prevent any of their effects, such as clear body, shell armor, or sticky hold; and abilities that grant any general protective benefit, such as simple, snow cloak, or thick fat.  If an ability could either hinder or help this Pokémon's moves, e.g. dry skin or unaware, the ability is ignored either way.

Abilities that do not fit this description, even if they could hinder moves in some other way, are not affected.  For example, cursed body only affects potential future uses of the move, while liquid ooze and shadow tag can only hinder a move's effect on the user.  This ablity cannot ignore type or form changes granted by abilities, for example color change or forecast; nor effects that were caused by abilities but are no longer tied to an ability, such as the rain from drizzle.  This ability cannot ignore multitype at all.

An ability ignored by this ability is only nullified while the move is being used.  For example, this Pokémon's moves can paralyze a Pokémon with limber, but Limber will activate and heal the paralysis immediately thereafter, and this Pokémon's spikes are not affected by this ability after they have been placed.

When this Pokémon enters battle, all participating trainers are notified that it has this ability.

This ability functions identically to mold breaker and turboblaze.",Bypasses targets' abilities if they could hinder or prevent moves.,2020-11-05 21:14:47.417911,2020-11-05 21:14:47.417911
165,aroma_veil,Protects allies against moves that affect their mental state.,Protects allies against moves that affect their mental state.,2020-11-05 21:14:47.638212,2020-11-05 21:14:47.638212
166,flower_veil,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.,Protects friendly grass Pokémon from having their stats lowered by other Pokémon.,2020-11-05 21:14:50.119708,2020-11-05 21:14:50.119708
167,cheek_pouch,"Restores HP upon eating a Berry, in addition to the Berry's effect.","Restores HP upon eating a Berry, in addition to the Berry's effect.",2020-11-05 21:14:50.340183,2020-11-05 21:14:50.340183
168,protean,"Changes the bearer's type to match each move it uses.

The type change takes place just before the move is used.",Changes the bearer's type to match each move it uses.,2020-11-05 21:14:50.60648,2020-11-05 21:14:50.60648
169,fur_coat,Halves damage from physical attacks.,Halves damage from physical attacks.,2020-11-05 21:14:51.476179,2020-11-05 21:14:51.476179
170,magician,Steals the target's held item when the bearer uses a damaging move.,Steals the target's held item when the bearer uses a damaging move.,2020-11-05 21:14:52.19799,2020-11-05 21:14:52.19799
171,bulletproof,"Protects against bullet, ball, and bomb-based moves.","Protects against bullet, ball, and bomb-based moves.",2020-11-05 21:14:52.433571,2020-11-05 21:14:52.433571
172,competitive,Raises Special Attack by two stages upon having any stat lowered.,Raises Special Attack by two stages upon having any stat lowered.,2020-11-05 21:14:52.801078,2020-11-05 21:14:52.801078
173,strong_jaw,Strengthens biting moves to 1.5× their power.,Strengthens biting moves to 1.5× their power.,2020-11-05 21:14:53.050145,2020-11-05 21:14:53.050145
174,refrigerate,Turns the bearer's normal-type moves into ice-type moves.  Moves changed by this ability have 1.3× their power.,Turns the bearer's normal moves into ice moves and strengthens them to 1.3× their power.,2020-11-05 21:14:53.866438,2020-11-05 21:14:53.866438
175,sweet_veil,Prevents friendly Pokémon from sleeping.,Prevents friendly Pokémon from sleeping.,2020-11-05 21:14:54.474033,2020-11-05 21:14:54.474033
176,stance_change,"Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.","Changes aegislash to Blade Forme before using a damaging move, or Shield Forme before using kings shield.",2020-11-05 21:14:54.684302,2020-11-05 21:14:54.684302
177,gale_wings,Raises flying moves' priority by one stage.,Raises flying moves' priority by one stage.,2020-11-05 21:14:54.905079,2020-11-05 21:14:54.905079
